MY JARVIS - Unit Economics & Sensitivity Analysis,,,,,,
,,,,,,
=== UNIT ECONOMICS PER USER ===,,,,,,
Metric,M3,M6,M12,M18,M24,
,,,,,,
--- Free User ---,,,,,,
LLM cost/free user/mo,0.25,0.23,0.19,0.17,0.14,
Infra cost/free user/mo,0.00,0.00,0.04,0.04,0.04,
Total cost/free user/mo,0.25,0.23,0.23,0.21,0.18,
Revenue/free user/mo,0.00,0.00,0.00,0.00,0.00,
Contribution/free user/mo,-0.25,-0.23,-0.23,-0.21,-0.18,
,,,,,,
--- Pro User ($4/mo) ---,,,,,,
LLM cost/Pro user/mo,0.70,0.64,0.54,0.46,0.39,
Infra cost/Pro user/mo,0.00,0.00,0.04,0.04,0.04,
Payment processing,0.12,0.12,0.12,0.12,0.12,
Total cost/Pro user/mo,0.82,0.76,0.70,0.62,0.55,
Revenue/Pro user/mo,4.00,4.00,4.00,4.00,4.00,
Contribution/Pro user/mo,3.18,3.24,3.30,3.38,3.45,
Contribution margin,80%,81%,83%,85%,86%,
,,,,,,
--- Pro+ User ($8/mo) ---,,,,,,
LLM cost/Pro+ user/mo,2.50,2.30,1.95,1.65,1.39,
Infra cost/Pro+ user/mo,0.00,0.00,0.04,0.04,0.04,
Payment processing,0.24,0.24,0.24,0.24,0.24,
Total cost/Pro+ user/mo,2.74,2.54,2.23,1.93,1.67,
Revenue/Pro+ user/mo,8.00,8.00,8.00,8.00,8.00,
Contribution/Pro+ user/mo,5.26,5.46,5.77,6.07,6.33,
Contribution margin,66%,68%,72%,76%,79%,
,,,,,,
=== BLENDED UNIT ECONOMICS ===,,,,,,
Metric,M3,M6,M12,M18,M24,
ARPU (all users),0.14,0.23,0.32,0.37,0.39,
ARPU (paid only),4.53,4.59,4.60,4.60,4.59,
Cost per user (all),5.58,2.43,0.63,0.43,0.28,
Cost per user (paid),185.87,48.65,8.93,5.44,3.28,
Contribution per paid user,3.30,3.37,3.46,3.55,3.62,
,,,,,,
=== CAC & LTV ===,,,,,,
Metric,M3,M6,M12,M18,M24,
Total marketing spend (monthly),200,2900,9000,17000,20000,
New users (monthly),575,2450,24500,39000,76000,
New paid users (monthly),17,123,1715,3120,6460,
,,,,,,
CAC (all users),0.35,1.18,0.37,0.44,0.26,
CAC (paid users),11.76,23.58,5.25,5.45,3.10,
,,,,,,
Avg monthly churn (paid),5%,5%,5%,5%,5%,
Avg customer lifetime (months),20,20,20,20,20,
LTV (Pro user),63.60,64.80,66.00,67.60,69.00,
LTV (Pro+ user),105.20,109.20,115.40,121.40,126.60,
Blended LTV (paid),69.90,71.50,73.40,75.50,78.20,
,,,,,,
LTV:CAC ratio,5.9x,3.0x,14.0x,13.9x,25.2x,
CAC payback (months),3.6,7.0,1.5,1.5,0.9,
,,,,,,
=== SENSITIVITY ANALYSIS: CONVERSION RATE ===,,,,,,
Scenario,Paid Conversion M24,Paid Users M24,MRR M24,ARR M24,Break-even Month,
Bear Case,5.0%,20000,92000,1104000,M24+,
Base Case,8.5%,34000,156400,1876800,M21,
Bull Case,12.0%,48000,220800,2649600,M18,
,,,,,,
=== SENSITIVITY ANALYSIS: LLM COST ===,,,,,,
Scenario,LLM Cost Multiplier,Monthly LLM Cost M24,Gross Margin M24,EBITDA M24,,
LLM costs 50% higher,1.5x,70686,52%,21337,,
Base Case,1.0x,47124,59%,44907,,
LLM costs 50% lower,0.5x,23562,66%,68469,,
LLM costs drop 80% (trend),0.2x,9425,72%,82606,,
,,,,,,
=== SENSITIVITY ANALYSIS: USER GROWTH ===,,,,,,
Scenario,Total Users M24,Paid Users M24,MRR M24,ARR M24,Cumulative Cash Burn,
Slow Growth (50% of base),200000,17000,78200,938400,Higher - need more funding
Base Case,400000,34000,156400,1876800,~$260K cumulative
Fast Growth (150% of base),600000,51000,234600,2815200,Higher burn but faster scale
,,,,,,
=== SENSITIVITY ANALYSIS: PRICING ===,,,,,,
Scenario,Pro Price,Pro+ Price,MRR M24,ARR M24,Gross Margin M24,
Lower (69K/149K VND),2.80,6.00,109480,1313760,50%,
Base (99K/199K VND),4.00,8.00,156400,1876800,59%,
Higher (149K/299K VND),6.00,12.00,249800,2997600,68%,
Premium (199K/399K VND),8.00,16.00,343200,4118400,74%,
,,,,,,
=== SENSITIVITY MATRIX: MRR M24 (Conversion × Price) ===,,,,,,
,Pro $2.80,Pro $4.00,Pro $6.00,Pro $8.00,,
5% conversion,64400,92000,138000,184000,,
7% conversion,90160,128800,193200,257600,,
8.5% conversion,109480,156400,234600,312800,,
10% conversion,128800,184000,276000,368000,,
12% conversion,154560,220800,331200,441600,,
,,,,,,
=== KEY RATIOS FOR INVESTORS ===,,,,,,
Metric,M6,M12,M18,M24,,
Revenue Growth (MoM avg),100%+,50%+,25%+,16%+,,
Gross Margin,-30%→26%,37%,50%,59%,,
EBITDA Margin,neg,neg,-19%,30%,,
LTV:CAC,3.0x,14.0x,13.9x,25.2x,,
CAC Payback (months),7.0,1.5,1.5,0.9,,
Burn Multiple (net burn/net new ARR),high,3.2x,1.4x,profitable,,
Rule of 40 (growth% + margin%),n/a,n/a,6%,46%,,
ARR per employee,n/a,$23K,$54K,$125K,,
Magic Number (net new ARR / prev Q S&M),n/a,0.8,1.2,2.1,,
,,,,,,
=== SCENARIO SUMMARY ===,,,,,,
Scenario,ARR M24,Cash Position M24,Break-even,Funding Needed,Investor Return (10x on seed),
Bear Case,$938K,$450K,M24+,$1.2M total,Possible at Series A,
Base Case,$1.88M,$713K,M21,$900K total,Likely at Series A,
Bull Case,$2.82M,$1.1M,M18,$900K total,Strong at Series A,
